reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Fixation.started,text.started,key_resp.started,Fixation.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,
10,77,19,0,0,0,70,12.84439595799995,13.79375945799984,13.79375945799984,13.843223040999874,l,0.9495130840005004,None,2,001,2023-11-22_17h28.25.281,delay_discounting,2023.1.3,None,
35,72,49,0,1,1,50,14.80116545799865,15.776177249999819,15.776177249999819,15.792875207998804,l,0.776150959000006,None,2,001,2023-11-22_17h28.25.281,delay_discounting,2023.1.3,None,
44,76,95,0,2,2,37,16.584216082999774,17.55971362499986,17.55971362499986,17.576307749999614,t,0.43072445900179446,None,2,001,2023-11-22_17h28.25.281,delay_discounting,2023.1.3,None,
17,86,18,0,3,3,62,18.011239915998885,18.993012916000225,18.993012916000225,19.00971933300025,l,0.5426694590005354,None,2,001,2023-11-22_17h28.25.281,delay_discounting,2023.1.3,None,
14,64,24,0,4,4,17,19.560018207999747,20.5430629579987,20.5430629579987,20.549877999999808,t,0.6551561670003139,None,2,001,2023-11-22_17h28.25.281,delay_discounting,2023.1.3,None,
42,72,98,0,5,5,45,21.2158771659997,22.20258300000023,22.20258300000023,22.209898416000215,l,0.6460108339997532,None,2,001,2023-11-22_17h28.25.281,delay_discounting,2023.1.3,None,
43,87,70,0,6,6,30,22.86660899999879,23.852430165999976,23.852430165999976,23.85925424999914,l,0.20768354300162173,None,2,001,2023-11-22_17h28.25.281,delay_discounting,2023.1.3,None,
12,50,52,0,7,7,63,24.076630707999357,25.059856624999156,25.059856624999156,25.066939000000275,l,0.23796983400097815,None,2,001,2023-11-22_17h28.25.281,delay_discounting,2023.1.3,None,
23,81,80,0,8,8,16,25.315173790999324,26.293371040999773,26.293371040999773,26.310026290999303,t,0.19357137600127317,None,2,001,2023-11-22_17h28.25.281,delay_discounting,2023.1.3,None,
11,53,56,0,9,9,88,26.51028820799911,27.493233707999025,27.493233707999025,27.50001216599958,t,0.2311855009993451,None,2,001,2023-11-22_17h28.25.281,delay_discounting,2023.1.3,None,
30,77,57,0,10,10,24,27.743981583000277,28.7266735409994,28.7266735409994,28.734121665998828,l,0.1937060840009508,None,2,001,2023-11-22_17h28.25.281,delay_discounting,2023.1.3,None,
40,47,94,0,11,11,90,28.943811916000413,29.926748333000432,29.926748333000432,29.9337649579993,l,0.2749818749998667,None,2,001,2023-11-22_17h28.25.281,delay_discounting,2023.1.3,None,
13,88,47,0,12,12,38,30.22780149999926,31.209578124999098,31.209578124999098,31.22685516599995,l,0.22510883399991144,None,2,001,2023-11-22_17h28.25.281,delay_discounting,2023.1.3,None,
24,81,15,0,13,13,76,31.459954207999544,32.43647079099901,32.43647079099901,32.47739762499987,t,0.4281563760014251,None,2,001,2023-11-22_17h28.25.281,delay_discounting,2023.1.3,None,
29,58,78,0,14,14,46,32.88302754100005,33.86989737499971,33.86989737499971,33.87673070799974,t,0.21629158400173765,None,2,001,2023-11-22_17h28.25.281,delay_discounting,2023.1.3,None,
28,32,43,0,15,15,53,34.10989858299945,35.09357983299924,35.09357983299924,35.100600415999,t,0.22396033400036686,None,2,001,2023-11-22_17h28.25.281,delay_discounting,2023.1.3,None,
39,83,10,0,16,16,92,35.33335745799923,36.319510125000306,36.319510125000306,36.32631570800004,l,0.6090890430004947,None,2,001,2023-11-22_17h28.25.281,delay_discounting,2023.1.3,None,
28,50,94,0,17,17,39,36.950050040999486,37.93628337500013,37.93628337500013,37.94314345800012,t,0.47823300100026245,None,2,001,2023-11-22_17h28.25.281,delay_discounting,2023.1.3,None,
21,53,54,0,18,18,78,38.43273504100034,39.41958783299924,39.41958783299924,39.42691320799895,t,0.29982104300142964,None,2,001,2023-11-22_17h28.25.281,delay_discounting,2023.1.3,None,
40,51,76,0,19,19,80,39.74440933299957,40.72712804099865,40.72712804099865,40.734158375000334,t,0.31688704200132634,None,2,001,2023-11-22_17h28.25.281,delay_discounting,2023.1.3,None,
44,69,85,0,20,20,86,41.06080154099982,42.04397512499963,42.04397512499963,42.05062233299941,t,0.22807887599992682,None,2,001,2023-11-22_17h28.25.281,delay_discounting,2023.1.3,None,
26,42,38,0,21,21,12,42.29393770800016,43.27718724999977,43.27718724999977,43.28382587499982,t,0.22562866800035408,None,2,001,2023-11-22_17h28.25.281,delay_discounting,2023.1.3,None,
22,60,46,0,22,22,58,43.52776920799988,44.51054095799918,44.51054095799918,44.51727458299865,t,0.38707904200055054,None,2,001,2023-11-22_17h28.25.281,delay_discounting,2023.1.3,None,
18,20,44,0,23,23,40,44.915853832999346,45.89407341599872,45.89407341599872,45.910572499999034,l,0.25045404200136545,None,2,001,2023-11-22_17h28.25.281,delay_discounting,2023.1.3,None,
45,79,50,0,24,24,74,46.16119729099955,47.1440249999996,47.1440249999996,47.15078245800032,l,0.8956531250005355,None,2,001,2023-11-22_17h28.25.281,delay_discounting,2023.1.3,None,
15,55,56,0,25,25,49,48.06133395799952,49.04410329100028,49.04410329100028,49.05079241599924,t,0.6305227090015251,None,2,001,2023-11-22_17h28.25.281,delay_discounting,2023.1.3,None,
48,62,12,0,26,26,69,49.69401670799925,50.67742683299912,50.67742683299912,50.68406649999997,t,0.34281537600145384,None,2,001,2023-11-22_17h28.25.281,delay_discounting,2023.1.3,None,
29,40,98,0,27,27,84,51.043770958000096,52.02752458299983,52.02752458299983,52.034154499999204,t,0.38805633400079387,None,2,001,2023-11-22_17h28.25.281,delay_discounting,2023.1.3,None,
18,31,68,0,28,28,55,52.43478966600014,53.41964695800016,53.41964695800016,53.427664040998934,t,0.4667020840006444,None,2,001,2023-11-22_17h28.25.281,delay_discounting,2023.1.3,None,
20,40,37,0,29,29,32,53.91112274999978,54.89424129100007,54.89424129100007,54.90164920799907,t,0.5238663340005587,None,2,001,2023-11-22_17h28.25.281,delay_discounting,2023.1.3,None,
28,66,30,0,30,30,51,55.44132712499959,56.427727665999555,56.427727665999555,56.43479654099974,t,0.37015712600077677,None,2,001,2023-11-22_17h28.25.281,delay_discounting,2023.1.3,None,
27,50,21,0,31,31,2,56.81726745800006,57.794376791000104,57.794376791000104,57.81100304099891,t,0.5731395840011828,None,2,001,2023-11-22_17h28.25.281,delay_discounting,2023.1.3,None,
17,57,93,0,32,32,41,58.383685082999364,59.37031370799923,59.37031370799923,59.37725283299915,t,0.2746727500016277,None,2,001,2023-11-22_17h28.25.281,delay_discounting,2023.1.3,None,
33,78,97,0,33,33,22,59.66206754099949,60.644428207999226,60.644428207999226,60.65118925000024,t,0.20498287500049628,None,2,001,2023-11-22_17h28.25.281,delay_discounting,2023.1.3,None,
49,60,89,0,34,34,4,60.86820099999932,61.8539805829987,61.8539805829987,61.86077999999907,l,0.575807043000168,None,2,001,2023-11-22_17h28.25.281,delay_discounting,2023.1.3,None,
41,50,76,0,35,35,60,62.45082429099966,63.43666616599876,63.43666616599876,63.44409945799998,l,0.5333726260014373,None,2,001,2023-11-22_17h28.25.281,delay_discounting,2023.1.3,None,
33,55,60,0,36,36,15,63.99525691599956,64.97792891599966,64.97792891599966,64.98472733299968,l,0.5879720430002635,None,2,001,2023-11-22_17h28.25.281,delay_discounting,2023.1.3,None,
41,74,65,0,37,37,68,65.58312408299935,66.57024774999991,66.57024774999991,66.57809495800029,l,0.4196599179995246,None,2,001,2023-11-22_17h28.25.281,delay_discounting,2023.1.3,None,
48,70,42,0,38,38,93,67.0130420409987,67.98693270799959,67.98693270799959,68.00152304099902,l,0.45114091700088466,None,2,001,2023-11-22_17h28.25.281,delay_discounting,2023.1.3,None,
40,55,62,0,39,39,3,68.46127704100036,69.44478320800044,69.44478320800044,69.45170970799882,l,0.4547364589998324,None,2,001,2023-11-22_17h28.25.281,delay_discounting,2023.1.3,None,
31,49,83,0,40,40,61,69.91658166599882,70.90327429100034,70.90327429100034,70.91152279099879,t,0.37547504199937975,None,2,001,2023-11-22_17h28.25.281,delay_discounting,2023.1.3,None,
39,56,51,0,41,41,98,71.29502729100022,72.27823070799968,72.27823070799968,72.28498887499882,t,0.34136400100032915,None,2,001,2023-11-22_17h28.25.281,delay_discounting,2023.1.3,None,
43,83,18,0,42,42,47,72.6454673749995,73.62830058299915,73.62830058299915,73.63497895799992,t,0.354429542001526,None,2,001,2023-11-22_17h28.25.281,delay_discounting,2023.1.3,None,
37,60,17,0,43,43,85,74.00134174999948,74.98784999999953,74.98784999999953,74.99461037499896,t,0.46613345900186687,None,2,001,2023-11-22_17h28.25.281,delay_discounting,2023.1.3,None,
23,33,98,0,44,44,97,75.47935620799944,76.46165983299943,76.46165983299943,76.47835454099913,t,0.3578927510006906,None,2,001,2023-11-22_17h28.25.281,delay_discounting,2023.1.3,None,
49,63,63,0,45,45,27,76.84542554099971,77.82842899999923,77.82842899999923,77.83549516600033,t,0.5182483759999741,None,2,001,2023-11-22_17h28.25.281,delay_discounting,2023.1.3,None,
44,89,83,0,46,46,48,78.36748425000042,79.34434245800003,79.34434245800003,79.3618649580003,t,0.6530281670002296,None,2,001,2023-11-22_17h28.25.281,delay_discounting,2023.1.3,None,
19,56,76,0,47,47,75,80.01924937500007,81.00391304099867,81.00391304099867,81.01199208300022,t,0.4263102510012686,None,2,001,2023-11-22_17h28.25.281,delay_discounting,2023.1.3,None,
10,55,53,0,48,48,82,81.4518205000004,82.43658766599947,82.43658766599947,82.44523079099963,t,0.3149500010003976,None,2,001,2023-11-22_17h28.25.281,delay_discounting,2023.1.3,None,
45,64,100,0,49,49,25,82.76798066599986,83.75499845800005,83.75499845800005,83.7617781659992,t,0.34010158400087676,None,2,001,2023-11-22_17h28.25.281,delay_discounting,2023.1.3,None,
12,22,55,0,50,50,57,84.1122194999989,85.0953204159996,85.0953204159996,85.10246083299899,t,0.2801737920017331,None,2,001,2023-11-22_17h28.25.281,delay_discounting,2023.1.3,None,
14,45,96,0,51,51,14,85.39566345799904,86.37866904099974,86.37866904099974,86.38534087500011,t,0.2339510430010705,None,2,001,2023-11-22_17h28.25.281,delay_discounting,2023.1.3,None,
