reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Fixation.started,text.started,key_resp.started,Fixation.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,
37,60,17,0,0,0,85,11.920621917000972,12.875212875000216,12.875212875000216,12.914409875000274,l,0.8259736249983689,None,3,001,2023-11-22_17h31.22.989,delay_discounting,2023.1.3,None,
13,59,10,0,1,1,7,13.753759000001082,14.730991042000824,14.730991042000824,14.74774916699971,l,0.23344449999967765,None,3,001,2023-11-22_17h31.22.989,delay_discounting,2023.1.3,None,
39,88,37,0,2,2,13,14.989100417000373,15.964383333999649,15.964383333999649,15.980973875000927,l,0.1672563749980327,None,3,001,2023-11-22_17h31.22.989,delay_discounting,2023.1.3,None,
23,33,98,0,3,3,97,16.155755334000787,17.139735875000042,17.139735875000042,17.147714542001268,l,0.19781929199962178,None,3,001,2023-11-22_17h31.22.989,delay_discounting,2023.1.3,None,
18,31,68,0,4,4,55,17.353670417000103,18.33899195900085,18.33899195900085,18.34786087500106,t,0.3098061249984312,None,3,001,2023-11-22_17h31.22.989,delay_discounting,2023.1.3,None,
44,69,85,0,5,5,86,18.671994000000268,19.656432249999853,19.656432249999853,19.664435417000277,t,0.2301549999992858,None,3,001,2023-11-22_17h31.22.989,delay_discounting,2023.1.3,None,
44,76,95,0,6,6,37,19.90426750000006,20.88129329200092,20.88129329200092,20.897847750000437,t,0.19179124999936903,None,3,001,2023-11-22_17h31.22.989,delay_discounting,2023.1.3,None,
17,86,18,0,7,7,62,21.098238624999794,22.081205667000177,22.081205667000177,22.087850167001307,t,0.33014120899861155,None,3,001,2023-11-22_17h31.22.989,delay_discounting,2023.1.3,None,
39,56,51,0,8,8,98,22.432306000000608,23.406199791999825,23.406199791999825,23.431188417000158,t,0.17880204199900618,None,3,001,2023-11-22_17h31.22.989,delay_discounting,2023.1.3,None,
44,55,65,0,9,9,91,23.603125667001223,24.581324042001143,24.581324042001143,24.597934625000562,t,0.3391821249988425,None,3,001,2023-11-22_17h31.22.989,delay_discounting,2023.1.3,None,
10,55,53,0,10,10,82,24.937717709000935,25.92393579199961,25.92393579199961,25.930747000000338,t,0.2658352090002154,None,3,001,2023-11-22_17h31.22.989,delay_discounting,2023.1.3,None,
21,74,80,0,11,11,81,26.214940042000308,27.19801970899971,27.19801970899971,27.204771333999815,l,0.24430166599995573,None,3,001,2023-11-22_17h31.22.989,delay_discounting,2023.1.3,None,
20,40,37,0,12,12,32,27.46483245899981,28.44805833400096,28.44805833400096,28.454720125000676,l,0.16814024999985122,None,3,001,2023-11-22_17h31.22.989,delay_discounting,2023.1.3,None,
45,79,50,0,13,13,74,28.638513167001292,29.624025084000095,29.624025084000095,29.63480687500123,t,0.532557957998506,None,3,001,2023-11-22_17h31.22.989,delay_discounting,2023.1.3,None,
35,37,86,0,14,14,26,30.180980041999646,31.164894334000564,31.164894334000564,31.171613209000498,t,0.3260324169987143,None,3,001,2023-11-22_17h31.22.989,delay_discounting,2023.1.3,None,
29,33,44,0,15,15,95,31.51446741700056,32.49824575000093,32.49824575000093,32.50498091699956,l,0.06852708299993537,None,3,001,2023-11-22_17h31.22.989,delay_discounting,2023.1.3,None,
47,83,51,0,16,16,19,32.587895209000635,33.56751249999979,33.56751249999979,33.58873437500006,l,0.5993779170003108,None,3,001,2023-11-22_17h31.22.989,delay_discounting,2023.1.3,None,
21,53,54,0,17,17,78,34.186914167001305,35.17443312500109,35.17443312500109,35.181247250000524,l,0.2825628329992469,None,3,001,2023-11-22_17h31.22.989,delay_discounting,2023.1.3,None,
41,50,76,0,18,18,60,35.480922500000815,36.465188166999724,36.465188166999724,36.472587084001134,l,0.17342350000035367,None,3,001,2023-11-22_17h31.22.989,delay_discounting,2023.1.3,None,
48,62,12,0,19,19,69,36.65554441700078,37.64043583400053,37.64043583400053,37.648369667000225,t,0.13372708299903024,None,3,001,2023-11-22_17h31.22.989,delay_discounting,2023.1.3,None,
23,81,80,0,20,20,16,37.79879558399989,38.781793959000424,38.781793959000424,38.788421834000474,t,0.2550133749991801,None,3,001,2023-11-22_17h31.22.989,delay_discounting,2023.1.3,None,
14,45,96,0,21,21,14,39.05431024999962,40.03976420900108,40.03976420900108,40.048481249999895,t,0.1884631659995648,None,3,001,2023-11-22_17h31.22.989,delay_discounting,2023.1.3,None,
12,73,100,0,22,22,9,40.2487176249997,41.22391100000095,41.22391100000095,41.237946709001335,t,0.2516211669990298,None,3,001,2023-11-22_17h31.22.989,delay_discounting,2023.1.3,None,
20,69,51,0,23,23,96,41.4986035840011,42.481966291999925,42.481966291999925,42.48858654200012,l,0.017378124997776467,None,3,001,2023-11-22_17h31.22.989,delay_discounting,2023.1.3,None,
11,51,87,0,24,24,28,42.523196875001304,43.50668200000109,43.50668200000109,43.51522612500048,l,0.24964804099909088,None,3,001,2023-11-22_17h31.22.989,delay_discounting,2023.1.3,None,
44,67,11,0,25,25,21,43.78255758399973,44.765294625000024,44.765294625000024,44.771849667000424,l,0.26165287499861734,None,3,001,2023-11-22_17h31.22.989,delay_discounting,2023.1.3,None,
26,38,25,0,26,26,44,45.04918637500123,46.03201920900028,46.03201920900028,46.038754291999794,t,0.26028999999834923,None,3,001,2023-11-22_17h31.22.989,delay_discounting,2023.1.3,None,
31,76,52,0,27,27,71,46.315916834000745,47.29877149999993,47.29877149999993,47.306017625000095,t,0.28783266699974774,None,3,001,2023-11-22_17h31.22.989,delay_discounting,2023.1.3,None,
34,71,18,0,28,28,59,47.60585616699973,48.59091762500066,48.59091762500066,48.59826712500035,t,0.5287908329992206,None,3,001,2023-11-22_17h31.22.989,delay_discounting,2023.1.3,None,
17,50,44,0,29,29,11,49.13906508400032,50.12488129200028,50.12488129200028,50.13168299999961,t,0.4216107079992071,None,3,001,2023-11-22_17h31.22.989,delay_discounting,2023.1.3,None,
40,51,76,0,30,30,80,50.56679145900125,51.548937375000605,51.548937375000605,51.56569070899968,l,0.6090268749976531,None,3,001,2023-11-22_17h31.22.989,delay_discounting,2023.1.3,None,
