reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Fixation.started,text.started,key_resp.started,Fixation.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,
23,33,98,0,0,0,97,11.41999504100022,12.372399666001002,12.372399666001002,12.410760624999966,l,0.35453783400043903,None,4,001,2023-11-22_17h34.05.362,delay_discounting,2023.1.3,None,
48,52,50,0,1,1,87,12.78197579100015,13.764471708000201,13.764471708000201,13.771501041001102,l,0.27537233399925753,None,4,001,2023-11-22_17h34.05.362,delay_discounting,2023.1.3,None,
21,45,79,0,2,2,34,14.070445332999952,15.047069333000763,15.047069333000763,15.06130000000121,l,0.3086172509993048,None,4,001,2023-11-22_17h34.05.362,delay_discounting,2023.1.3,None,
45,79,50,0,3,3,74,15.371764999999868,16.35507304100065,16.35507304100065,16.361801166000078,l,0.23583583400068164,None,4,001,2023-11-22_17h34.05.362,delay_discounting,2023.1.3,None,
11,51,87,0,4,4,28,16.611298333000377,17.588378000000375,17.588378000000375,17.605053208000754,l,0.27053450099992915,None,4,001,2023-11-22_17h34.05.362,delay_discounting,2023.1.3,None,
22,60,46,0,5,5,58,17.87921754099989,18.863813500000106,18.863813500000106,18.87180879100015,l,0.21617975099979958,None,4,001,2023-11-22_17h34.05.362,delay_discounting,2023.1.3,None,
48,62,12,0,6,6,69,19.105909625001004,20.08844158300053,20.08844158300053,20.095233250000092,l,0.24562675100060005,None,4,001,2023-11-22_17h34.05.362,delay_discounting,2023.1.3,None,
17,86,18,0,7,7,62,20.354663833000814,21.33851225000035,21.33851225000035,21.345227499999964,l,0.2626138340001489,None,4,001,2023-11-22_17h34.05.362,delay_discounting,2023.1.3,None,
40,55,62,0,8,8,3,21.621222540999952,22.605670208000447,22.605670208000447,22.61316050000096,l,0.3076272930011328,None,4,001,2023-11-22_17h34.05.362,delay_discounting,2023.1.3,None,
47,74,27,0,9,9,65,22.93901412500054,23.922024666000652,23.922024666000652,23.92867387500155,l,0.2838440420000552,None,4,001,2023-11-22_17h34.05.362,delay_discounting,2023.1.3,None,
17,46,24,0,10,10,52,24.227787916001034,25.213960750001206,25.213960750001206,25.221287875001508,l,0.3505594590005785,None,4,001,2023-11-22_17h34.05.362,delay_discounting,2023.1.3,None,
31,49,83,0,11,11,61,25.588492708000558,26.5720273750012,26.5720273750012,26.57877766599995,t,0.2616548749992944,None,4,001,2023-11-22_17h34.05.362,delay_discounting,2023.1.3,None,
17,57,93,0,12,12,41,26.85603062500013,27.831274166001094,27.831274166001094,27.845821375000014,t,0.29257520900137024,None,4,001,2023-11-22_17h34.05.362,delay_discounting,2023.1.3,None,
15,73,94,0,13,13,36,28.14540858300097,29.13154970800133,29.13154970800133,29.138427125000817,t,0.3659105010010535,None,4,001,2023-11-22_17h34.05.362,delay_discounting,2023.1.3,None,
30,77,57,0,14,14,24,29.52179141600027,30.505446416000268,30.505446416000268,30.512472833001084,t,0.2645713749989227,None,4,001,2023-11-22_17h34.05.362,delay_discounting,2023.1.3,None,
28,66,30,0,15,15,51,30.78937704100099,31.772268041000643,31.772268041000643,31.77887979099978,t,0.3125490419988637,None,4,001,2023-11-22_17h34.05.362,delay_discounting,2023.1.3,None,
26,42,38,0,16,16,12,32.10579762500129,33.08099354100159,33.08099354100159,33.09507766600109,t,0.3059164589994907,None,4,001,2023-11-22_17h34.05.362,delay_discounting,2023.1.3,None,
39,88,37,0,17,17,13,33.404522041000746,34.38896562500122,34.38896562500122,34.39585487500153,t,0.38622616800057585,None,4,001,2023-11-22_17h34.05.362,delay_discounting,2023.1.3,None,
44,89,83,0,18,18,48,34.795611625000674,35.780868916001054,35.780868916001054,35.78902679100065,l,0.2780527090017131,None,4,001,2023-11-22_17h34.05.362,delay_discounting,2023.1.3,None,
31,76,52,0,19,19,71,36.07909529100107,37.06439879100071,37.06439879100071,37.07238141600101,l,0.23875183400014066,None,4,001,2023-11-22_17h34.05.362,delay_discounting,2023.1.3,None,
33,55,60,0,20,20,15,37.322896833000414,38.2975692910004,38.2975692910004,38.31173658300031,l,0.309553084000072,None,4,001,2023-11-22_17h34.05.362,delay_discounting,2023.1.3,None,
13,59,10,0,21,21,7,38.62826875000064,39.61449695800002,39.61449695800002,39.622464208001475,l,0.34994420899965917,None,4,001,2023-11-22_17h34.05.362,delay_discounting,2023.1.3,None,
49,63,63,0,22,22,27,39.98926191600003,40.972464458000104,40.972464458000104,40.97914295800001,t,0.2385131259998161,None,4,001,2023-11-22_17h34.05.362,delay_discounting,2023.1.3,None,
19,86,45,0,23,23,72,41.23066225000002,42.21560366599988,42.21560366599988,42.2225484999999,l,0.36768470899914973,None,4,001,2023-11-22_17h34.05.362,delay_discounting,2023.1.3,None,
39,83,10,0,24,24,92,42.606287250000605,43.58128679100082,43.58128679100082,43.59551170800114,t,0.3436182090008515,None,4,001,2023-11-22_17h34.05.362,delay_discounting,2023.1.3,None,
24,81,15,0,25,25,76,43.945822250001584,44.9312895410003,44.9312895410003,44.939274833001036,l,0.3646467090002261,None,4,001,2023-11-22_17h34.05.362,delay_discounting,2023.1.3,None,
78,80,162,0,26,26,6,45.3130202500015,46.29776691600091,46.29776691600091,46.30596095800138,l,0.38728500099932717,None,4,001,2023-11-22_17h34.05.362,delay_discounting,2023.1.3,None,
21,53,54,0,27,27,78,46.70554320800147,47.68132879100085,47.68132879100085,47.69551583300017,l,0.4616312090001884,None,4,001,2023-11-22_17h34.05.362,delay_discounting,2023.1.3,None,
12,73,100,0,28,28,9,48.16192291600055,49.13938308300021,49.13938308300021,49.15607812500093,l,0.2753416260002268,None,4,001,2023-11-22_17h34.05.362,delay_discounting,2023.1.3,None,
35,37,86,0,29,29,26,49.44017370800066,50.42272687500008,50.42272687500008,50.429461083000206,l,0.392051792001439,None,4,001,2023-11-22_17h34.05.362,delay_discounting,2023.1.3,None,
43,83,18,0,30,30,47,50.84011320799982,51.82281204100036,51.82281204100036,51.83046033299979,l,0.423291833998519,None,4,001,2023-11-22_17h34.05.362,delay_discounting,2023.1.3,None,
18,20,44,0,31,31,40,52.26256479100084,53.23971562500083,53.23971562500083,53.256150458000775,l,0.4725654169997142,None,4,001,2023-11-22_17h34.05.362,delay_discounting,2023.1.3,None,
39,61,48,0,32,32,42,53.729682916000456,54.706214916001045,54.706214916001045,54.722895250000875,l,0.3527966670008027,None,4,001,2023-11-22_17h34.05.362,delay_discounting,2023.1.3,None,
33,78,97,0,33,33,22,55.079202416000044,56.065627291000055,56.065627291000055,56.07229083300081,l,0.3310979590005445,None,4,001,2023-11-22_17h34.05.362,delay_discounting,2023.1.3,None,
67,75,119,0,34,34,5,56.41217462500026,57.39891012500084,57.39891012500084,57.40560866600026,l,0.2976689589995658,None,4,001,2023-11-22_17h34.05.362,delay_discounting,2023.1.3,None,
13,88,47,0,35,35,38,57.71319341600065,58.698758041000474,58.698758041000474,58.70560862500133,t,0.7776443750008184,None,4,001,2023-11-22_17h34.05.362,delay_discounting,2023.1.3,None,
13,22,66,0,36,36,73,59.49632683300115,60.48161145800077,60.48161145800077,60.488880666000114,t,0.3383865429987054,None,4,001,2023-11-22_17h34.05.362,delay_discounting,2023.1.3,None,
37,60,17,0,37,37,85,60.84033779099991,61.822229541001434,61.822229541001434,61.84002570800112,t,0.48085729199920024,None,4,001,2023-11-22_17h34.05.362,delay_discounting,2023.1.3,None,
20,69,51,0,38,38,96,62.32381700000042,63.306499583000914,63.306499583000914,63.313244583001506,t,0.8464272929995786,None,4,001,2023-11-22_17h34.05.362,delay_discounting,2023.1.3,None,
