19.6644 	EXP 	Fixation: autoDraw = False
19.8896 	EXP 	New trial (rep=0, index=6): {'reward_today': 44, 'future_reward': 76, 'delay': 95}
19.8993 	DATA 	Keypress: t
19.9043 	EXP 	Fixation: autoDraw = False
19.9043 	EXP 	text: autoDraw = False
19.9043 	EXP 	text: height = 0.05
19.9043 	EXP 	text: height = 0.05
19.9043 	EXP 	text: height = 0.05
19.9043 	EXP 	text: text = 'GBP 44 today or GBP 76 after 95 days'
19.9043 	EXP 	Fixation: autoDraw = True
20.8813 	EXP 	text: autoDraw = True
20.8978 	EXP 	Fixation: autoDraw = False
21.0835 	EXP 	New trial (rep=0, index=7): {'reward_today': 17, 'future_reward': 86, 'delay': 18}
21.0931 	DATA 	Keypress: t
21.0982 	EXP 	Fixation: autoDraw = False
21.0982 	EXP 	text: autoDraw = False
21.0982 	EXP 	text: height = 0.05
21.0982 	EXP 	text: height = 0.05
21.0982 	EXP 	text: height = 0.05
21.0982 	EXP 	text: text = 'GBP 17 today or GBP 86 after 18 days'
21.0982 	EXP 	Fixation: autoDraw = True
22.0812 	EXP 	text: autoDraw = True
22.0879 	EXP 	Fixation: autoDraw = False
22.4165 	EXP 	New trial (rep=0, index=8): {'reward_today': 39, 'future_reward': 56, 'delay': 51}
22.4271 	DATA 	Keypress: t
22.4323 	EXP 	Fixation: autoDraw = False
22.4323 	EXP 	text: autoDraw = False
22.4323 	EXP 	text: height = 0.05
22.4323 	EXP 	text: height = 0.05
22.4323 	EXP 	text: height = 0.05
22.4323 	EXP 	text: text = 'GBP 39 today or GBP 56 after 51 days'
22.4323 	EXP 	Fixation: autoDraw = True
23.4062 	EXP 	text: autoDraw = True
23.4312 	EXP 	Fixation: autoDraw = False
23.5895 	EXP 	New trial (rep=0, index=9): {'reward_today': 44, 'future_reward': 55, 'delay': 65}
23.5986 	DATA 	Keypress: t
23.6031 	EXP 	Fixation: autoDraw = False
23.6031 	EXP 	text: autoDraw = False
23.6031 	EXP 	text: height = 0.05
23.6031 	EXP 	text: height = 0.05
23.6031 	EXP 	text: height = 0.05
