7.5555 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1440, 900]. Using actual size
8.6892 	WARNING 	Couldn't measure a consistent frame rate!
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

8.6901 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x7fc942d1f190>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x7fc942d1f130>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x7fc942975fa0>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x7fc94358d970>, multiSample=False, name='window1', numSamples=2, pos=[360.0, 225.0], screen=0, size=array([2880, 1800]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
8.6907 	EXP 	window1: mouseVisible = True
8.6908 	EXP 	window1: backgroundImage = ''
8.6908 	EXP 	window1: backgroundFit = 'none'
8.6919 	EXP 	window1: mouseVisible = False
8.6919 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
8.6920 	EXP 	window1: recordFrameIntervals = False
8.7726 	EXP 	window1: recordFrameIntervals = True
9.6059 	WARNING 	Couldn't measure a consistent frame rate!
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

11.3699 	EXP 	Created Fixation = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0.0, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='Fixation', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.05, 0.05]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
11.3749 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
11.3856 	EXP 	Imported delay_discounting_conditions.xlsx as conditions, 100 conditions, 3 params
11.3869 	EXP 	Created sequence: random, trialTypes=100, nReps=1, seed=None
11.3871 	EXP 	New trial (rep=0, index=0): {'reward_today': 23, 'future_reward': 33, 'delay': 98}
11.4200 	WARNING 	t of last frame was 1814.46ms (=1/0)
11.4200 	EXP 	text: height = 0.05
11.4200 	EXP 	text: height = 0.05
11.4200 	EXP 	text: height = 0.05
11.4200 	EXP 	text: text = 'GBP 23 today or GBP 33 after 98 days'
11.4200 	EXP 	Fixation: autoDraw = True
12.3724 	EXP 	text: autoDraw = True
12.4108 	EXP 	Fixation: autoDraw = False
12.7627 	EXP 	New trial (rep=0, index=1): {'reward_today': 48, 'future_reward': 52, 'delay': 50}
